,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
348,HDFCBANK,Long Closed,2020-09-03,1137.25,2020-10-05,1112.0,43.0,48901.75,-1085.75,-2.22,Exit Trigger,32 days
349,HDFCBANK,Long Closed,2020-10-08,1180.0,2021-03-30,1506.65,42.0,49560.0,13719.3,27.682,Exit Trigger,173 days
350,HDFCBANK,Long Closed,2021-06-02,1510.0,2021-07-28,1435.05,33.0,49830.0,-2473.35,-4.964,Exit Trigger,56 days
351,HDFCBANK,Long Closed,2021-08-26,1550.0,2021-11-22,1546.0,32.0,49600.0,-128.0,-0.258,Exit Trigger,88 days
352,HDFCBANK,Long Closed,2022-01-21,1500.0,2022-02-15,1476.0,33.0,49500.0,-792.0,-1.6,Exit Trigger,25 days
353,HDFCBANK,Long Closed,2022-02-24,1449.9,2022-02-25,1439.95,34.0,49296.601,-338.3,-0.686,Exit Trigger,1 days
354,HDFCBANK,Long Closed,2022-04-07,1541.3,2022-05-05,1375.0,32.0,49321.602,-5321.6,-10.79,Exit Trigger,28 days
355,HDFCBANK,Long Closed,2022-06-27,1370.0,2022-06-29,1331.25,36.0,49320.0,-1395.0,-2.828,Exit Trigger,2 days
356,HDFC,Long Closed,2002-10-09,60.8,2002-10-16,62.0,822.0,49977.599,986.4,1.974,Exit Trigger,7 days
357,HDFC,Long Closed,2002-10-23,63.0,2002-10-25,63.2,793.0,49959.0,158.6,0.317,Exit Trigger,2 days
358,HDFC,Long Closed,2002-10-31,63.0,2003-03-14,70.81,793.0,49959.0,6193.33,12.397,Exit Trigger,134 days
359,HDFC,Long Closed,2003-05-26,69.0,2004-03-11,125.4,724.0,49956.0,40833.6,81.739,Exit Trigger,290 days
360,HDFC,Long Closed,2004-04-16,131.0,2004-05-07,131.0,381.0,49911.0,0.0,0.0,Exit Trigger,21 days
361,HDFC,Long Closed,2004-08-05,114.23,2004-09-01,111.1,437.0,49918.511,-1367.81,-2.74,Exit Trigger,27 days
362,HDFC,Long Closed,2004-09-15,127.2,2005-01-18,153.0,393.0,49989.599,10139.4,20.283,Exit Trigger,125 days
363,HDFC,Long Closed,2005-02-11,162.89,2005-03-29,142.8,306.0,49844.34,-6147.54,-12.333,Exit Trigger,46 days
364,HDFC,Long Closed,2005-05-19,152.98,2005-11-14,209.97,326.0,49871.479,18578.74,37.253,Exit Trigger,179 days
365,HDFC,Long Closed,2005-11-16,215.5,2006-04-04,265.02,232.0,49996.0,11488.64,22.979,Exit Trigger,139 days
366,HDFC,Long Closed,2006-07-27,225.6,2007-03-12,310.2,221.0,49857.601,18696.6,37.5,Exit Trigger,228 days
367,HDFC,Long Closed,2007-04-30,335.26,2007-09-03,397.6,149.0,49953.741,9288.66,18.595,Exit Trigger,126 days
368,HDFC,Long Closed,2007-09-05,411.0,2007-09-07,422.0,121.0,49731.0,1331.0,2.676,Exit Trigger,2 days
369,HDFC,Long Closed,2007-09-10,414.51,2008-02-05,602.6,120.0,49741.201,22570.8,45.376,Exit Trigger,148 days
370,HDFC,Long Closed,2008-05-08,543.6,2008-06-11,427.48,91.0,49467.598,-10566.92,-21.361,Exit Trigger,34 days
371,HDFC,Long Closed,2008-08-11,510.0,2008-09-26,430.0,98.0,49980.0,-7840.0,-15.686,Exit Trigger,46 days
